,mbti 특성,mbti topic,질문
0,"친구,를 중요시하는,연인,을 중요시하는","친구,연애",연인과 친구 중 지금 편하게 만나고 싶은 사람이 누구입니까?
1,"친구,를 중요시하는,연인,을 중요시하는","친구,연애",물에 연인과 절친한 친구가 빠졌다면 누구를 구하시겠습니까?
2,"로맨스,를 보고싶은,액션,을 보고싶은","로맨스,액션",로맨스나 액션 장르 중에 어떤 것을 더 보고 싶으세요?
3,"로맨스,을 보고싶은,액션,을 보고싶은","로맨스,액션",아름다운 로맨스와 화끈한 액션 장르 중 어떤 것을 더 보고 싶으신가요?
4,"판타지,이야기를 좋아하는,현실,적인 이야기를 좋아하는","판타지,실제",상상 속의 세계와 현실 세계에서 벌어질 수 있는 이야기 중 어느 것을 더 좋아하시나요?
5,"판타지,이야기를 좋아하는,현실,적인 이야기를 좋아하는","판타지,실제",비현실적인 판타지와 현실적인 사건이 얽힌 이야기 중 어느 것을 더 좋아하시나요?
6,"잔인한,영화도 괜찮은,부드러운, 영화를 선호하는","잔인,관계","잔인한 장면이 포함된 영화도 잘 보실 수 있나요?,아니면 비교적 부드러운 영화를 보고 싶으신가요?"
7,"잔인한,영화도 괜찮은,부드러운, 영화를 선호하는","잔인,관계","영화에 잔인하고 불편한 장면이 포함되어도 괜찮으신가요?,아니면 비교적 부드러운 영화를 보고 싶으신가요?"
8,"연기력,을 중요시하는,줄거리,를 중요시하는","연기력,줄거리",연기력과 줄거리 중 어떤 것이 영화의 몰입감을 더 깊게 만들어주는 것 같나요?
9,"연기력,을 중요시하는,줄거리,를 중요시하는","연기력,줄거리",좋은 연기력과 흥미로운 줄거리 중에서 어떤 요소가 당신을 더 매료시키나요?
10,"가벼운,영화를 보고싶은,심도,깊은 영화를 보고싶은","코미디,분위기",순수한 즐거움을 추구하는 가벼운 작품과 심도 있는 내용의 영화 중 어떤 것을 보고 싶으신가요?
11,"즐거운,영화를 보고싶은,진지한, 영화를 보고싶은","코미디,분위기",기분을 풀어 줄 즐거운 작품과 감정을 공감하고 생각에 잠길 만한 진지한 작품 중 어떤 것을 보고 싶으신가요?
12,"감수성,있는,냉담,한","눈물,계획",예술 작품이나 음악을 통해 자신의 감정을 치유해 본 적이 있나요?
13,"감수성,있는,냉담,한","눈물,계획",영화나 연극을 감상할 때 캐릭터의 감정에 쉽게 공감할 수 있나요?
14,"의미,를 담은 영화를 좋아하는,킬링타임, 영화를 좋아하는","메시지,재미",깊은 메시지를 담은 영화와 킬링타임 영화 중 어떤 걸 보고 싶으신가요?
15,"의미,를 중요하게 생각하는,재미,를 중요하게 생각하는","메시지,재미","작품에서 깊은 의미를 찾아내고 싶은 마음이 크신가요, 아니면 재미를 중요하게 생각하시나요?"
16,"힐링,이 되는 영화를 보고싶은,자극,적인 영화를 보고싶은","아름답,충격",힐링이 되는 영화와 자극적인 영화 중 어떤 것을 더 보고 싶으세요?
17,"힐링,을 하고싶은,자극,을 받고싶은","아름답,충격","오늘은 마음을 힐링하고 싶으세요, 아니면 감정을 자극하고 싶으세요?"
18,"흥미,로운 소재의 영화를 보고싶은,스토리,가 탄탄한 영화를 보고싶은","소재,완벽",흥미로운 소재의 영화와 스토리가 탄탄한 영화 중 어떤 것을 더 보고 싶으신가요?
19,"완전,성을 중요하게 생각하는,흥미,로운 소재를 중요하게 생각하는","소재,완벽","영화를 선택할 때, 스토리의 완전성과 흥미로운 소재 중 어떤 측면을 먼저 고려하시나요?"""
20,"예술,적인 작품을 선호하는,공상과학, 작품을 선호하는","예술,공상",하울의 움직이는 성과 같은 예술적인 작품과 인터스텔라와 같은 공상과학장르의 작품 중 어떤 것을 보고 싶으신가요?
21,"미술,을 좋아하는,과학,실험을 좋아하는","예술,공상",학창 시절 미술과 과학실험 중 어떤 것을 더 좋아 하셨나요?
22,"세계,관을 중요하게 생각하는,캐릭터,를 중요하게 생각하는","세계,캐릭터",작품 속 매력적인 캐릭터와 흥미로운 세계관 중 어떤 것에 더 빠지고 싶으신가요?
23,"세계,관을 중요하게 생각하는,캐릭터,를 중요하게 생각하는","세계,캐릭터",작품 속 매력적인 캐릭터와 독창적인 세계관 중 어떤 것을 더 중요하게 여기시나요?
24,"감동,적인 작품을 보고싶어 하는,스릴러,작품을 보고 싶어하는","감동,스릴러",감동적인 작품과 긴장감 넘치는 스릴러 작품 중 어떤 것을 더 선호하시나요?
25,"감동,적인 이야기를 보고 싶은,긴장감,넘치는 이야기를 보고싶은","감동,스릴러",감동적인 이야기와 긴장감 넘치는 이야기 중 어떤 것을 보고 싶으신가요?
26,"액션, 작품을 보고싶은,감동,적인 작품을 보고싶은","가슴,액션",심장을 뛰게 만드는 액션 작품과 심금을 울리는 감동적인 작품 중 어떤 것을 보고 싶으신가요?
27,"액션, 작품을 보고싶은,감동,적인 작품을 보고싶은","가슴,액션",스릴 넘치는 화려한 액션 작품과 감동적인 작품 중 어떤 것을 보고 싶으신가요?
28,"매력,적인 인물이 등장하는 작품을 더 보고싶은,전개,를 더 중요시하는","인물,전개",매력적인 인물들이 등장하는 작품과 흥미로운 전개를 가진 작품 중 어떤 작품을 더 보고싶으신가요?
29,"매력,적인 등장인물을 더 중요시 생각하는,흥미,로운 전개를 더 중요시하는","인물,전개", 매력적인 등장인물과 흥미로운 전개 중 어떤 것을 중요시하시나요?
30,"유유자적,한 여행을 원하는,환상,적인 여행을 원하는","행복,놀랍",환상적인 세계로의 여행을 꿈꾸시나요 아니면 휴양지에서 유유자적하는 여행을 꿈꾸시나요?
31,"행복,을 느끼고 싶은,모험,적인 경험을 느끼고 싶은","행복,놀랍","일상 속에서 작은 행복을 느끼고 싶으신가요, 아니면 모험적이고 새로운 경험을 느끼고 싶으신가요?"
32,"복잡,한 스토리를 보고싶은,단순,한 스토리를 보고싶은","단순, 복잡","단순한 스토리로 편히 쉬는 시간을 보내고 싶으신가요, 아니면 복잡한 스토리의 수수께끼에 빠져보고 싶으신가요?"
33,"깊이,있는 스토리를 선호하는,단순,한 스토리를 선호하는","단순, 복잡","깊이있는 스토리가 중요한 요소인가요, 아니면 단순한 스토리라도 감동을 주는 게 중요한가요?"
34,"따뜻,한 스토리를 선호하는,예측, 할 수 없는 스토리를 선호하는","따뜻,반전","따뜻함을 느낄 수 있는 스토리를 원하시나요, 아니면  예측할 수 없는 스토리를 원하시나요?"
35,"따뜻,한 이야기가 담긴 스토리를 선호하는,깜짝, 놀랄 만한 스토리를 선호하는","따뜻,반전","따뜻한 우리 삶의 이야기가 담긴 스토리를 선호하시나요, 아니면 깜짝 놀랄 만한 스토리를 선호하시나요?"
36,"애니메이션,을 더 좋아하는,액션, 장르를 더 좋아하는","애니메이션,미스터리","애니메이션을 좋아하시나요, 아니면 미스터리 장르를 더 선호하시나요"
37,"애니메이션,을 더 좋아하는,액션, 장르를 더 좋아하는","애니메이션,미스터리","영화를 선택할 때, 애니메이션과 미스터리 중에서 어떤 장르를 먼저 고려하시나요?"
