,제목,장르모음,시놉시스,특징,출연진,개봉일,등급,상영시간,기본장르,nfid,imdbid
0,우주 히어로 키드,"키즈 시리즈,가족이 함께 보는 시리즈,코미디 시리즈,만화 시리즈","지구를 지키는 영웅이 되고 싶어요. 이 꿈이 정말로 이뤄질 줄이야! 한 소년이 우주 파워 스톤 5개를 발견한다. 상상만큼 멋지냐고? 아니, 너무 어려워. 도움이 필요해!","유쾌 발랄,흥미진진","잭 피셔,톰 케니,어맨다 C. 밀러,킴 야브로,키스 퍼거슨,그레이 그리핀,릴리 로즈 실버,프레드 타타시오르,",2021 ,"
전체관람가 ", 시즌 3개 , 키즈,80244340,tt9248538
0,청소년 v 정부: 기후 정의를 외치다,"다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,사회 & 문화 다큐멘터리,미국 영화",기후 위기를 초래한 미국 정부의 행태를 두고 볼 수 없었던 21명의 청소년 원고단. 급기야 정부를 상대로 소송을 제기한다. 이들의 치열한 투쟁을 담은 다큐멘터리.,"도발적인,감명을 주는",,2020 ,"
15+ ", 1시간 49분 , 다큐멘터리,81586492,tt13192640
0,하프 배드: 선 & 데빌,"로맨틱한 드라마,드라마,영국 작품,청소년 시리즈,액션 & 어드벤처 시리즈,판타지 시리즈",전쟁 중인 두 종족 사이에 운명적으로 끼게 된 소년. 끔찍한 학살을 일으킨 악명 높은 마법사의 아들인 그가 세상 속에서 자신의 자리와 능력을 찾으려 한다.,"폭력적인,흥미진진,로맨틱","제이 라이커고,나디아 파크스,에밀리앵 베크만스,폴 레디,이저벨 제스퍼 존스,캐런 코널,페힌티 발로군,",2022 ,"
청불 ", 시즌 1개 , 판타지,81258637,tt16380676
0,Breaking Bad,"드라마,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈","말기 암 진단이 그를 범죄의 세계로 밀어 넣었다. 아니, 그런 줄 알았다. 제자와 함께 메스를 제조하기로 한 것은 순전히 가족을 지키려는 결정이었건만, 악과 타협한 그 순간, 그는 다가올 거대한 제국을 선택한 것이었다.","폭력적인,어두운,긴장감 넘치는","브라이언 크랜스턴,에런 폴,안나 건,딘 노리스,벳시 브랜트,RJ 미티,밥 오든커크,스티븐 마이클 쿠에자다,조너선 뱅크스,잔카를로 에스포지토,",2008 ,"
19+ ", 시즌 5개 , 드라마 장르,70143836,tt0903747
0,우리의 지구,"가족이 함께 보는 시리즈,영국 작품,자연 & 생태 다큐멘터리,과학 & 자연 TV 프로그램,과학 & 자연 다큐멘터리,다큐시리즈","압도적인 스케일, 경이로운 영상미 그리고 전 인류를 향한 메시지. 우리 지구에 관한 가장 광대한 탐험을 만난다. 자연의 장관과 공존의 철학을 담은 대작 다큐멘터리.",감명을 주는,"데이비드 애튼버러,",2019 ,"
전체관람가 ", 시즌 2개 , 다큐멘터리,80049832,tt9253866
0,1899,"드라마,독일 작품,액션 & 어드벤처 시리즈,스릴러 시리즈","1899년, 이민자들을 싣고 뉴욕으로 향하던 배가 미스터리한 사건을 마주한다. 급격한 변화 속에서 혼란에 빠진 탑승객들. 그때, 충격적인 수수께끼가 한올 한올 풀어지기 시작한다.","발상의 전환,불길한","에밀리 비첨,어나이린 바나드,안드레아스 피치만,미겔 베르나르데아우,조제 피멘탕,이저벨라 웨이,개비 웡,얀 가엘,마틸드 올리비에,조나스 블로케,로절리 크레이그,마치에이 무시아우,클라라 로사게르,루카스 륑고르 퇴네센,마리아 에르볼테르,알렉산드르 비욤,티노 메베스,이자크 덴틀러,플린 에드워즈,앤턴 레서,",2022 ,"
청불 ", 시즌 1개 , 스릴러,80214497,tt9319668
0,릭 앤 모티,"시트콤,SF 시리즈,코미디 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",술에 절어 사는 천재 과학자 릭은 투정이 심한 10대 손자 모티를 데리고 외계와 대체 현실로 아슬아슬한 모험을 떠난다.,"익살스러운,유쾌 발랄","저스틴 로일랜드,크리스 파넬,스펜서 그래머,세라 초크,",2013 ,"
청불 ", 시즌 6개 , 코미디,80014749,tt2861424
0,마이클 조던: 더 라스트 댄스,"다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램",농구 황제 마이클 조던과 시카고 불스를 다시 만난다. 1997-98 시즌의 미공개 영상을 포함한 이들의 1990년대 황금시대. 열정으로 가득한 승리의 연대기가 베일을 벗는다.,흥미진진,"마이클 조던,스코티 피펜,데니스 로드먼,",2020 ,"
15+ ", 시즌 1개 , 다큐멘터리,80203144,tt8420184
0,데이비드 애튼버러: 우리의 지구를 위하여,"영국 작품,다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,실존 인물 다큐멘터리",바다가 죽어간다. 얼음이 사라진다. 인간이 파괴한 야생의 세계. 일생에 걸쳐 지구의 몰락을 지켜본 방송인이 혼신을 다해 경고한다. 우리 손으로 파멸을 막아야 한다고.,거부할 수 없는 이끌림,"데이비드 애튼버러,",2020 ,"
전체관람가 ", 1시간 23분 , 다큐멘터리,80216393,tt11989890
0,아바타 아앙의 전설,"키즈 시리즈,가족이 함께 보는 시리즈,만화 시리즈,판타지 시리즈","불의 제국이 일으킨 전쟁으로 균형이 깨져 버린 세상. 물, 불, 흙, 공기에 전부 통달한 아바타만이 다시 평화를 가져올 수 있다. 긴 잠 끝에 빙하 속에서 깨어난 아이, 아바타의 운명을 타고난 소년이 과연 세상을 구할 수 있을까.",흥미진진,"자크 타일러,메이 휘트먼,잭 디세나,디 브래들리 베이커,단테 바스코,제시 플라워,마코 이와마쓰,",2005 ,"
전체관람가 ", 시즌 3개 , 키즈,70142405,tt0417299
0,미첼 가족과 기계 전쟁,"가족 영화,어린이 & 가족 영화,코미디 영화,미국 영화","자동차를 타고 국토를 횡단할까 했는데, 이게 무슨 날벼락. 로봇들이 세상을 점령하다니. 이제 이상하기로는 세계 최강, 미첼 가족이 나설 수밖에. 인류는 우리가 구한다. 어떻게든 되겠지!",유쾌 발랄,"대니 맥브라이드,애비 제이컵슨,마야 루돌프,마이크 리안다,에릭 안드레,올리비아 콜먼,프레드 아미슨,벡 베넷,존 레전드,크리시 티건,블레이크 그리핀,코난 오브라이언,샬린 이,",2021 ,"
전체관람가 ", 1시간 54분 , 키즈,81399614,tt7979580
0,코타 팩토리,"드라마,청춘 드라마,인도 작품,코미디 시리즈,힌디어 TV 쇼,사회 문제를 다룬 드라마",입시 학원의 메카인 도시 코타. 명문대 합격생을 생산(?)하기 위한 혹독한 공정이 이뤄지는 곳이다. 일류대에 진학할 꿈을 안고 순박한 입시생이 이곳에 입성한다. 전국의 수재들이 모인 각축장에서 치열한 경쟁을 뚫고 살아남을 수 있을까.,"거부할 수 없는 이끌림,감정을 파고드는","마유르 모레,지텐드라 쿠마르,란잔 라지,알람 칸,아흐사스 찬나,레바티 필라이,우르비 싱,아룬 쿠마르,",2021 ,"
12+ ", 시즌 2개 , 코미디,81249783,tt9432978
0,매직키드 보보: 갤럭시,"키즈 시리즈,말레이시아 작품,만화 시리즈",다양한 원소를 마음대로 바꿀 수 있는 슈퍼히어로 소년. 마찬가지로 초능력을 가진 친구들과 함께 우주를 누빈다. 은하계를 위협하는 못된 악당들은 우리들의 독특한 능력으로 막아주겠어!,흥미진진,"마리사 다니알라 라작,라이언 리 바스카란,푸트리 사브리나 아펜디,찬수링,웡와이카이,일한 모하멧 사흐리잘,",2016 ,"
전체관람가 ", 시즌 1개 , 키즈,81479836,tt10178154
0,끝까지 살아남아라,"경쟁 리얼리티 시리즈,리얼리티 시리즈,미국 TV 프로그램","극한의 알래스카 야생 환경. 16명의 서바이벌 참가자가 거액의 상금을 손에 넣기 위해 경쟁을 벌인다. 단, 이 외톨이 늑대들은 반드시 팀의 일원이 되어야만 승리할 수 있다.",긴박감 넘치는,,2023 ,"
15+ ", 시즌 1개 , 리얼리티 TV,81480322,tt6009520
0,비포어 라이프 애프터 데스,"싱가포르 작품,드라마 영화,인디 영화","임신 사실을 알게 됐지만 기댈 곳 하나 없는 학생. 산부인과 의사에게 따뜻한 위로를 받고 뜻밖의 유대감을 느낀다. 사실, 이 의사는 외동딸을 떠나보낸 슬픔에서 여전히 헤어나지 못한 상태인데.",감정을 파고드는,"나미타 랄,산자이 강고파디아이,가우랑기 초프라,아디트야 마줌다르,샬말리 바이드야,크리스 매버리코,안비타 굽타,에이드리언 팡,",2022 ,"
15+ ", 2시간 16분 , 드라마 장르,81676449,tt0477190
0,넌 웃을 때 제일 예뻐,"중국 본토 시리즈,도서 원작 시리즈,코미디 시리즈,로맨틱 코미디 시리즈",남자로만 구성된 e스포츠 팀에 입단한 아마추어 게이머. 자신의 능력을 테스트하면서 팀을 세계 정상급 대회로 이끈다. 소설 원작.,"기분 좋아지는,로맨틱","쉬카이,청샤오,자이샤오원,야오츠,저우이란,왕뤄산,샤오카이중,가오한,치옌디,왕이쥔,쑨카이,추이사오양,",2021 ,"
15+ ", 시즌 1개 , 로맨스,81566868,tt11290960
0,비밀의 숲,"드라마,범죄 시리즈,스릴러 시리즈,한국 드라마","공감 능력을 잃은 검사가 살인 사건을 파헤친다. 검사는 열혈 여형사의 도움을 받으며, 수사를 방해하는 부패한 정치 상황에 맞선다.",긴장감 넘치는,"조승우,배두나,전혜진,최무성,이준혁,윤세아,이경영,유재명,신혜선,",2017 ,"
15+ ", 시즌 2개 , 스릴러,80187302,tt6319470
0,마숨,"드라마,튀르키예 작품,미스터리 시리즈,범죄 시리즈","한적한 시골 마을에서 발생한 미제 사건을 처리하러 강력계 형사 한 명이 마을에 온다. 과거 은사님 댁을 방문한 그는 흔들리는 눈빛의 전직 경찰, 예민한 안주인, 정신이 온전치 않은 아들을 본다. 그들이 깊이 묻어둔 충격적인 진실은.","불길한,잔잔한","알리 아타이,할룩 빌기너,누르 쉬레르,오칸 얄라브크,튈린 외젠,세르칸 케스킨,바르투 퀴췩찰라얀,이렘 알투,메흐메트 외즈귀르,메르베 아테슈,데프네 할만,젬 제이넬 클르치,에스라 크즐도안,",2017 ,"
15+ ", 시즌 1개 , 드라마 장르,81026192,tt7433762
0,삼생삼세 십리도화,"로맨틱한 드라마,드라마,중국 본토 시리즈,도서 원작 시리즈,판타지 시리즈","세 번의 생을 겪으며 세 종류의 세상을 만났다. 그러나 내가 줄곧 원했던 건 오직 한 사람. 이번 생에 안 되면 또 다음 생에 만납시다. 영겁의 세월을 떠도는 것이 우리 운명일지라도, 이 손 놓지 마오 이 사랑만은 잊지 마오.","설렘주의,감정을 파고드는,로맨틱","양미,조우정,딜라바 딜무라트,장즈야오,가오웨이광,황멍잉,",2017 ,"
15+ ", 시즌 1개 , 드라마 장르,81019520,tt6772360
0,그들이 우리를 바라볼 때,"드라마,범죄 시리즈,미국 TV 프로그램,TV 프로그램·실화 바탕,사회 문제를 다룬 드라마","할렘에 사는 다섯 소년이 체포된다. 편견에 사로잡힌 시선 때문에 잔인한 범죄의 용의자로 지목된 그들. 악몽 같은 현실에서 벗어나기 위한, 처절한 싸움이 시작된다.","도발적인,감정을 파고드는","아산테 블랙,칼릴 해리스,이선 에리스,재럴 제롬,마키스 로드리게스,조반 아데포,크리스 초크,저스틴 커닝햄,프레디 미야레스,마이클 케네스 윌리엄스,마샤 스테파니 블레이크,카일리 번버리,앤저누 엘리스,베라 파미가,펠리시티 허프먼,존 레귀자모,니시 내시-베츠,",2019 ,"
청불 ", 시즌 1개 , 드라마 장르,80200549,tt7137906
0,나의 아저씨,"드라마,한국 드라마","순리대로 살지만 소년의 순수성과 어른의 지혜를 갖춘 아저씨가 있다. 그런데 이상한 애가 그를 흔든다. 거친 인생을 살아온 무모한 스물한 살 그녀가. 어느덧 우정이 움트고, 둘은 서로에게 안식처가 된다. 이 차가운 세상에서.","힐링,감상적,감명을 주는","이선균,아이유,고두심,박호산,송새벽,김영민,",2018 ,"
15+ ", 시즌 1개 , 드라마 장르,81267691,tt7923710
0,타고르 단편극장,"정치 시리즈,드라마,인도 작품,도서 원작 시리즈,시대물,힌디어 TV 쇼,사회 문제를 다룬 드라마",노벨 문학상 수상자 라빈드라나트 타고르의 작품들이 20세기 초 벵골을 배경으로 한 이 이야기 컬렉션에서 재현된다.,거부할 수 없는 이끌림,,2015 ,"
12+ ", 시즌 1개 , 드라마 장르,80102160,tt4853764
0,프롬 스크래치,"로맨틱한 드라마,드라마,도서 원작 시리즈,미국 TV 프로그램","이탈리아에서 만난 셰프와 사랑에 빠진 화가. 이제 그녀는 문화와 대륙을 넘어 인생을 바꿀 운명적인 여정에 오른다. 사랑과 상실, 회복과 희망으로 가득 채워진.","달콤 쌉싸름,거부할 수 없는 이끌림,진심 어린","조이 살다냐,에우제니오 마스트란드레아,키스 데이비드,대니엘 데드와일러,주디스 스콧,켈리타 스미스,루치아 사르도,파리데 베나사이,로베르타 리가노,",2022 ,"
15+ ", 시즌 1개 , 드라마 장르,81104486,tt7129346
0,우리는 사자와 산다,"다큐멘터리 영화,과학 & 자연 다큐멘터리,미국 영화","신시내티 소아 병원의 다섯 아이와 가족들. 고통스러운 치료, 무너지는 감정, 촉박한 시간과 싸우며 소아암에 맞선다. 희망의 끈을 놓지 않고. 6년간 촬영한 다큐멘터리.","거부할 수 없는 이끌림,감정을 파고드는",,2006 ,"
12+ ", 시즌 1개 , 다큐멘터리,81284341,tt0492472
0,런닝맨,"키즈 시리즈,코미디 시리즈,만화 시리즈","7명의 선수가 종족의 운명을 걸고 런닝맨 챔피언십에 출전한다. 협력과 배신이 난무하고 누구도 우승을 장담할 수 없는 지상 최대 서바이벌 게임쇼. 최후 승자에겐 신성한 열매를 차지하는 영광이 주어질지니. 걷지 말고 뛰어라, 고고고!",흥미진진,"김서영,권창욱,엄상현,김연우,강시현,전태열,남도형,박노식,정유정,신경선,",2017 ,"
7+ ", 시즌 2개 , 키즈,81331228,tt2185037
0,카우보이 비밥,"SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈,드라마 장르 애니메이션","인류가 태양계 곳곳에 식민지를 개척한 미래 사회. 삶의 터전이 바뀌었어도 세상을 어지럽히는 범죄는 사라지지 않았으니. 경찰마저 포기한 악당 잡으러, 두둑한 현상금도 한몫씩 챙기러, 지금 카우보이들이 출동한다.","색다른,위트 있는","야마데라 고이치,이시즈카 운쇼,하야시바라 메구미,다다 아오이,다카시마 가라,와카모토 노리오,다루키 쓰토무,나가사와 미키,",1998 ,"
19+ ", 시즌 1개 , 애니,80001305,tt0213338
0,피파,"아르헨티나 작품,스릴러 영화,미스터리 영화,도서 원작 영화,사회 이슈 드라마 장르 영화","몇 년 전, 외딴 마을로 이사 온 경찰 출신의 피파. 어느 날, 살인 사건에 휘말리면서 잊고 있던 어둠의 세계로 다시 발을 들인다.",긴장감 넘치는,"루이사나 로필라토,마우리시오 파니아과,이네스 에스테베스,아리엘 스탈타리,파울리나 가르시아,말레나 나르바이,아킬레스 카사베야,벵하민 델 세로,산티아고 아르테미스,라우라 곤살레스,",2022 ,"
청불 ", 1시간 56분 , 드라마 장르,81259570,tt3754658
0,노트르담,"프랑스 작품,드라마,도서 원작 시리즈,TV 프로그램·실화 바탕","프랑스 소방관들의 생생한 증언을 바탕으로, 2019년 노트르담 대화재 사건이 다양한 파리 시민들의 삶에 미쳤던 영향을 그려낸 드라마 시리즈.",감정을 파고드는,"로슈디 젬,카롤린 프루스트,메건 노섬,시몽 아브카리앙,알리스 이사즈,산도르 푼텍,마리 자부코베크,코랑탱 필라,카셈 알코자,라야드 모하메드,프레데리크 쇼,",2022 ,"
청불 ", 시즌 1개 , 드라마 장르,81305674,tt0285800
