,id,title,img,vtype,nfid,synopsis,avgrating,year,runtime,imdbid,poster,imdbrating,top250,top250tv,clist,titledate
0,68518,Kid Cosmic,https://occ-0-4039-1500.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ_cQrPgOy8O7c3pOakRfFa0UfbHiefXlfwibdofMAQlcoAvqBKT7pjEzttyks9Kymg_nalISlZMp3iQKYoHDvw_L8ONS2pm9f_mCby9u6gvGvWunNIc-2xcdAQ.jpg?r=afd,series,80244340,A boy&#39;s superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can&#39;t do it alone.,0.0,2021,0,tt9248538,https://m.media-amazon.com/images/M/MV5BNmEwNzUyMGMtMjdlYi00ODYzLTgzYjYtZDUwZDNlMzNhZTg3XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,10.0,0.0,0.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2021-02-03
1,79125,Youth v Gov,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUA3DBkSa6TxiVsxUrRw76pNHDTFbgvdA8QY2J6p_uHK0NAxghaNwRtauqkVba8HNh0iyggKlFkJvETqFi-FxmkSKQ.jpg?r=5bd,movie,81586492,This documentary follows the journey of 21 young plaintiffs suing the US government for its actions in creating the climate crisis.,0.0,2020,6554,tt13192640,https://m.media-amazon.com/images/M/MV5BM2ZjMzAxZDgtOWUxZi00Y2ZlLThjMTUtOTM0MjRkM2YxMzk4XkEyXkFqcGdeQXVyMTA3NzE5NDY4._V1_SX300.jpg,9.6,,,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2022-04-29
2,82867,The Bastard Son & The Devil Himself,https://occ-0-363-2567.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABWUA_dZ-AzogIW7r0h46fCxBmayVfrv6bs2BciONhuBS3jfPpjaA1P6Al_8TAHA9cPN-_xnJgJCyny8XhbLbEkFONw1-RZPUYcczSOXOfsGTHLWVCvBCIkpemrZh08_8QhA.jpg?r=6d4,series,81258637,"Caught between two warring clans, the son of a notorious witch responsible for a deadly massacre tries to find his place in the world — and his powers.",0.0,2022,0,tt16380676,https://m.media-amazon.com/images/M/MV5BNTRjYTE2ZTEtY2E4Mi00OTc0LTk5NzMtNjFhNWQ0ZWU2NTI4XkEyXkFqcGdeQXVyNTg3NTA5NDg@._V1_SX300.jpg,9.6,,,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2022-10-28
3,26333,Breaking Bad,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcRDr6fbQ5zoGWrY4qVN7P3paEOOf_sVG1WbrTYzL2KmfWZdAFfReDl_r7y2-PC17h6nUA6PP9D9yIEBRwS5OTI4pQ.jpg?r=a1e,series,70143836,A terminally ill chemistry teacher teams with a former student to manufacture crystal meth to secure his family&#39;s future.,4.48224,2008,0,tt0903747,https://images-na.ssl-images-amazon.com/images/M/MV5BZDNhNzhkNDctOTlmOS00NWNmLWEyODQtNWMxM2UzYmJiNGMyXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,9.5,0.0,4.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""BE"":""Belgium"",""BR"":""Brazil"",""more"":""+26""",2015-04-14
4,61645,Our Planet,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSm1jfludXMnBuDuID4cp-qXpsel5-xA26lWpVncJggyGKRWd8Tmlt76kTFRM60NnMngnE6NoqMcvLU4dmIkOV-sxWQuVLgLiyzfBuD80LPPe5tZd4VZuIG0yVU.jpg?r=2e7,series,80049832,Experience our planet&#39;s natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,0.0,2019,0,tt9253866,https://m.media-amazon.com/images/M/MV5BMDE5YTU3MGUtMjAwMC00Yzc1LThiZDUtNjViMDVkOWM0ZWU1XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,9.3,0.0,8.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2019-04-05
5,83363,1899,https://occ-0-1000-2567.1.nflxso.net/dnm/api/v6/oQyw8Fv9eE41UPapt7zHvdUdzrE/AAAABSOwNLhWw1nOOAiCFC2aznwJ3MX3ALJ70Xe5dxJbbzZMnjPGqdAx4Q3USoJyhZq2Rq5Px__v5KtzD3dqV-Sy7Gg7lqheog4AzkHrIKV_1TjOeXS0vD_1_E_VMbhh_G2mwwY.jpg?r=672,series,80214497,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers.",0.0,2022,0,tt9319668,https://m.media-amazon.com/images/M/MV5BMTU1N2I5OTgtNDE2MS00ZTdmLWJlODktNDMwMGVmNzY5NmUxXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,9.3,,,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2022-11-17
6,46881,Rick and Morty,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVPJAAxjNaEJf4dbmzdBegO_aMD3np-XuKs1gfUVeVfiA6jguCX0GOi8NueKXx_L3BZRmSCTFovrgPEZwgxGMuBWZg.jpg?r=495,series,80014749,"Brilliant but boozy scientist Rick hijacks his fretful teenage grandson, Morty, for wild escapades in other worlds and alternate dimensions.",4.370655,2013,0,tt2861424,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNDEwNTE0Nl5BMl5BanBnXkFtZTgwMzQ1MTg3MDE@._V1_SX300.jpg,9.2,0.0,13.0,"""FR"":""France"",""DE"":""Germany"",""GB"":""United Kingdom"",""AU"":""Australia"",""BE"":""Belgium"",""GR"":""Greece"",""IN"":""India"",""IL"":""Israel"",""IT"":""Italy"",""JP"":""Japan"",""more"":""+6""",2016-04-03
7,65193,The Last Dance,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABSdkQPVipxtGuSio9-dUq5cHyGgq8x_dIexoedmuZ5hmdxF16WfgZIq8HSwyrkXQ1lsCrg2zjMhAltzM9hIEeHxK_p93Sh1HWKEyeLMcPX2DDDnZnFWJgaccchRaEMMS1AKCEZHFGrY9dpdDnBgB8MfMyoQus8ucU32oLy0.jpg?r=2c9,series,80203144,"This docuseries gives a definitive account of Michael Jordan’s career and the 1990s Chicago Bulls, packed with unaired footage from the 1997-98 season.",0.0,2020,0,tt8420184,https://m.media-amazon.com/images/M/MV5BY2U1ZTU4OWItNGU2MC00MTg1LTk4NzUtYTk3ODhjYjI0MzlmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,9.2,0.0,16.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+26""",2020-04-20
8,66851,David Attenborough: A Life on Our Planet,https://occ-0-2851-1432.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQKwvlqeKE03oXiZELV3K23Fok6otuf7X5ZLcBbNzYwiCs3ToKGfdUmTNccBZMpwReTFUq9AmpFJ3fFIhosz7BIz9NCRRjXobxm6AUcDhuNuadUme3HbA9hTTUI.jpg?r=c32,movie,80216393,"A broadcaster recounts his life, and the evolutionary history of life on Earth, to grieve the loss of wild places and offer a vision for the future.",0.0,2020,5027,tt11989890,https://m.media-amazon.com/images/M/MV5BY2FkMjE0ZDgtNWQxZS00NmZiLWEwMDYtMjE5M2RmOTZiODk5XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,9.2,0.0,0.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""AU"":""Australia"",""BE"":""Belgium"",""more"":""+27""",2020-10-04
9,26376,Avatar: The Last Airbender,https://occ-0-2773-2774.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfckM6bte1VR0xi8Vrzogt5sKG8_zr6b3MKl3MZo0tss5Tpc95pzopVin3zLtV1qXJnGs-5jeaZynTaMQYQearKlQw.jpg?r=fdc,series,70142405,"Siblings Katara and Sokka wake young Aang from a long hibernation and learn he&#39;s an Avatar, whose air-bending powers can defeat the evil Fire Nation.",4.2209716,2005,0,tt0417299,https://images-na.ssl-images-amazon.com/images/M/MV5BZjhhYWU5N2UtOGU4Yi00M2E2LWE2ODktZDQ2MDNiN2RjNDgwXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,9.2,0.0,12.0,"""CA"":""Canada"",""FR"":""France"",""DE"":""Germany"",""NL"":""Netherlands"",""PL"":""Poland"",""GB"":""United Kingdom"",""US"":""United States"",""AR"":""Argentina"",""BE"":""Belgium"",""BR"":""Brazil"",""more"":""+15""",2015-04-14
