,제목,장르모음,출연진,개봉일,등급,상영시간,기본장르
0,우주 히어로 키드,"키즈 시리즈,가족이 함께 보는 시리즈,코미디 시리즈,만화 시리즈",잭 피셔 톰 케니 어맨다 C. 밀러 킴 야브로 키스 퍼거슨 그레이 그리핀 릴리 로즈 실버 프레드 타타시오르,2021 ,"
전체관람가 ", 시즌 3개 , 키즈
0,청소년 v 정부: 기후 정의를 외치다,"다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,사회 & 문화 다큐멘터리,미국 영화",,2020 ,"
15+ ", 1시간 49분 , 다큐멘터리
0,하프 배드: 선 & 데빌,"로맨틱한 드라마,드라마,영국 작품,청소년 시리즈,액션 & 어드벤처 시리즈,판타지 시리즈",제이 라이커고 나디아 파크스 에밀리앵 베크만스 폴 레디 이저벨 제스퍼 존스 캐런 코널 페힌티 발로군,2022 ,"
청불 ", 시즌 1개 , 판타지
0,Breaking Bad,"드라마,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈",브라이언 크랜스턴 에런 폴 안나 건 딘 노리스 벳시 브랜트 RJ 미티 밥 오든커크 스티븐 마이클 쿠에자다 조너선 뱅크스 잔카를로 에스포지토,2008 ,"
19+ ", 시즌 5개 , 드라마 장르
0,우리의 지구,"가족이 함께 보는 시리즈,영국 작품,자연 & 생태 다큐멘터리,과학 & 자연 TV 프로그램,과학 & 자연 다큐멘터리,다큐시리즈",데이비드 애튼버러,2019 ,"
전체관람가 ", 시즌 2개 , 다큐멘터리
0,1899,"드라마,독일 작품,액션 & 어드벤처 시리즈,스릴러 시리즈",에밀리 비첨 어나이린 바나드 안드레아스 피치만 미겔 베르나르데아우 조제 피멘탕 이저벨라 웨이 개비 웡 얀 가엘 마틸드 올리비에 조나스 블로케 로절리 크레이그 마치에이 무시아우 클라라 로사게르 루카스 륑고르 퇴네센 마리아 에르볼테르 알렉산드르 비욤 티노 메베스 이자크 덴틀러 플린 에드워즈 앤턴 레서,2022 ,"
청불 ", 시즌 1개 , 스릴러
0,릭 앤 모티,"시트콤,SF 시리즈,코미디 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",저스틴 로일랜드 크리스 파넬 스펜서 그래머 세라 초크,2013 ,"
청불 ", 시즌 6개 , 코미디
0,마이클 조던: 더 라스트 댄스,"다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램",마이클 조던 스코티 피펜 데니스 로드먼,2020 ,"
15+ ", 시즌 1개 , 다큐멘터리
0,데이비드 애튼버러: 우리의 지구를 위하여,"영국 작품,다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,실존 인물 다큐멘터리",데이비드 애튼버러,2020 ,"
전체관람가 ", 1시간 23분 , 다큐멘터리
0,미첼 가족과 기계 전쟁,"가족 영화,어린이 & 가족 영화,코미디 영화,미국 영화",대니 맥브라이드 애비 제이컵슨 마야 루돌프 마이크 리안다 에릭 안드레 올리비아 콜먼 프레드 아미슨 벡 베넷 존 레전드 크리시 티건 블레이크 그리핀 코난 오브라이언 샬린 이,2021 ,"
전체관람가 ", 1시간 54분 , 키즈
